Date,QUOTE_DATE,EXPIRE_DATE,UNDERLYING_LAST,STRIKE,C_LAST,C_BID,C_ASK,C_IV,C_VOLUME,diff,diff_date
2018-02-01,2018-02-01,2018-02-21,281.58,281.5,2.9,3.25,3.29,0.11931,199.0,0.07999999999998408,20
2018-02-02,2018-02-02,2018-02-23,275.52,275.5,4.26,4.01,4.16,0.15162,174.0,0.01999999999998181,21
2018-02-05,2018-02-05,2018-02-28,263.93,265.0,8.22,7.91,8.29,0.37178,65.0,1.0699999999999932,23
2018-02-06,2018-02-06,2018-02-28,269.17,269.0,6.68,6.26,6.52,0.2375,150.0,0.17000000000001592,22
2018-02-07,2018-02-07,2018-02-28,267.63,268.0,5.5,4.75,4.87,0.20902,45.0,0.37000000000000455,21
2018-02-08,2018-02-08,2018-02-28,257.77,260.0,6.35,6.04,6.22,0.29041,250.0,2.230000000000018,20
2018-02-09,2018-02-09,2018-03-02,261.7,262.0,5.77,5.59,5.78,0.22779,,0.30000000000001137,21
2018-02-12,2018-02-12,2018-03-07,265.22,265.0,5.4,5.13,5.29,0.18827,145.0,0.22000000000002728,23
2018-02-13,2018-02-13,2018-03-07,266.07,266.0,4.48,4.76,4.85,0.1789,11.0,0.06999999999999318,22
2018-02-14,2018-02-14,2018-03-07,269.59,270.0,3.8,3.81,3.91,0.15137,384.0,0.410000000000025,21
2018-02-15,2018-02-15,2018-03-07,272.93,273.0,3.49,3.61,3.7,0.14142,94.0,0.06999999999999318,20
2018-02-16,2018-02-16,2018-03-09,273.16,273.0,4.31,4.03,4.11,0.14892,,0.160000000000025,21
2018-02-20,2018-02-20,2018-03-12,271.44,271.0,4.3,4.36,4.4,0.15999,160.0,0.4399999999999977,20
2018-02-21,2018-02-21,2018-03-14,269.97,270.0,4.63,4.23,4.35,0.16533,111.0,0.029999999999972715,21
2018-02-22,2018-02-22,2018-03-14,270.31,270.0,4.26,4.14,4.22,0.15599,203.0,0.3100000000000023,20
2018-02-23,2018-02-23,2018-03-16,274.67,275.0,3.02,3.0,3.07,0.12507,,0.3299999999999841,21
2018-02-26,2018-02-26,2018-03-19,277.88,278.0,3.0,2.95,3.04,0.11405,352.0,0.12000000000000455,21
2018-02-27,2018-02-27,2018-03-19,274.37,274.0,4.06,3.86,3.96,0.14513,20.0,0.37000000000000455,20
2018-02-28,2018-02-28,2018-03-21,271.34,271.0,4.86,4.02,4.16,0.1552,45.0,0.339999999999975,21
2018-03-01,2018-03-01,2018-03-21,267.7,268.0,4.34,3.82,3.93,0.16632,168.0,0.30000000000001137,20
2018-03-02,2018-03-02,2018-03-23,269.1,269.0,4.0,3.81,3.92,0.15774,93.0,0.10000000000002274,21
2018-03-05,2018-03-05,2018-03-26,272.15,272.0,3.5,3.42,3.51,0.14598,101.0,0.14999999999997726,21
2018-03-06,2018-03-06,2018-03-26,272.95,273.0,3.12,2.96,3.04,0.13668,66.0,0.05000000000001137,20
2018-03-07,2018-03-07,2018-03-28,272.85,273.0,2.72,3.05,3.09,0.13788,22.0,0.14999999999997726,21
2018-03-08,2018-03-08,2018-03-29,274.09,274.0,2.85,2.94,2.97,0.12464,,0.08999999999997499,21
2018-03-09,2018-03-09,2018-03-29,278.76,279.0,2.47,2.47,2.51,0.11902,,0.2400000000000091,20
2018-03-12,2018-03-12,2018-04-02,278.51,279.0,2.59,2.45,2.51,0.11358,518.0,0.4900000000000091,21
2018-03-13,2018-03-13,2018-04-02,276.71,277.0,2.46,2.55,2.62,0.11452,654.0,0.29000000000002046,20
2018-03-14,2018-03-14,2018-04-04,275.24,275.0,2.82,2.75,2.81,0.11631,231.0,0.2400000000000091,21
2018-03-15,2018-03-15,2018-04-04,275.01,275.0,2.51,2.45,2.49,0.10493,,0.009999999999990905,20
2018-03-16,2018-03-16,2018-04-06,274.22,274.0,3.56,3.23,3.27,0.11708,,0.22000000000002728,21
2018-03-19,2018-03-19,2018-04-09,270.61,270.0,3.98,4.09,4.22,0.14482,291.0,0.6100000000000136,21
2018-03-20,2018-03-20,2018-04-09,270.93,270.0,4.21,4.15,4.24,0.14289,331.0,0.9300000000000068,20
2018-03-21,2018-03-21,2018-04-11,270.4,270.0,4.17,3.99,4.05,0.14436,556.0,0.39999999999997726,21
2018-03-22,2018-03-22,2018-04-11,263.75,264.0,4.58,4.49,4.61,0.18754,439.0,0.25,20
2018-03-23,2018-03-23,2018-04-13,258.01,258.0,5.79,5.61,5.74,0.225,152.0,0.009999999999990905,21
2018-03-26,2018-03-26,2018-04-16,265.14,265.0,4.73,4.52,4.63,0.17321,315.0,0.13999999999998636,21
2018-03-27,2018-03-27,2018-04-16,260.5,260.0,5.0,5.16,5.32,0.19992,333.0,0.5,20
2018-03-28,2018-03-28,2018-04-18,259.82,260.0,5.75,4.99,5.13,0.20216,94.0,0.18000000000000682,21
2018-03-29,2018-03-29,2018-04-18,263.49,265.0,4.06,3.75,3.85,0.1813,313.0,1.509999999999991,20
2018-04-02,2018-04-02,2018-04-23,257.54,260.0,4.08,4.02,4.13,0.21158,,2.4599999999999795,21
2018-04-03,2018-04-03,2018-04-23,260.73,260.5,5.09,5.04,5.08,0.19776,160.0,0.2300000000000182,20
2018-04-04,2018-04-04,2018-04-25,263.78,265.0,4.25,4.09,4.2,0.18306,492.0,1.2200000000000273,21
2018-04-05,2018-04-05,2018-04-25,265.59,265.5,4.74,4.46,4.52,0.1741,52.0,0.08999999999997499,20
2018-04-06,2018-04-06,2018-04-27,259.8,260.0,5.04,4.81,4.9,0.1949,,0.19999999999998863,21
2018-04-09,2018-04-09,2018-04-30,260.83,261.0,4.98,4.86,4.92,0.19456,124.0,0.17000000000001592,21
2018-04-10,2018-04-10,2018-04-30,265.05,265.0,4.85,4.53,4.61,0.18236,,0.05000000000001137,20
2018-04-11,2018-04-11,2018-05-02,263.74,265.0,3.85,3.74,3.81,0.17141,920.0,1.259999999999991,21
2018-04-12,2018-04-12,2018-05-02,265.93,265.0,4.61,4.62,4.68,0.16493,,0.9300000000000068,20
2018-04-13,2018-04-13,2018-05-04,265.09,265.0,4.01,4.11,4.17,0.15753,,0.08999999999997499,21
2018-04-16,2018-04-16,2018-05-07,267.32,265.0,5.33,4.9,5.0,0.14126,185.0,2.319999999999993,21
2018-04-17,2018-04-17,2018-05-07,270.14,270.0,3.27,3.27,3.34,0.12563,784.0,0.13999999999998636,20
2018-04-18,2018-04-18,2018-05-09,270.37,270.0,3.71,3.48,3.56,0.12534,57.0,0.37000000000000455,21
2018-04-19,2018-04-19,2018-05-09,268.86,270.0,2.66,2.66,2.72,0.12592,164.0,1.1399999999999864,20
2018-04-20,2018-04-20,2018-05-11,266.63,267.0,3.19,3.51,3.55,0.14232,620.0,0.37000000000000455,21
2018-04-23,2018-04-23,2018-05-14,266.57,265.0,4.45,4.61,4.68,0.1456,137.0,1.5699999999999932,21
2018-04-24,2018-04-24,2018-05-14,263.04,263.0,3.84,3.97,4.03,0.15835,294.0,0.040000000000020464,20
2018-04-25,2018-04-25,2018-05-16,263.63,264.0,3.56,3.79,3.87,0.1558,59.0,0.37000000000000455,21
2018-04-26,2018-04-26,2018-05-16,266.24,266.0,4.12,3.78,3.82,0.14501,773.0,0.2400000000000091,20
2018-04-27,2018-04-27,2018-05-18,266.58,266.5,3.64,3.64,3.66,0.13812,,0.07999999999998408,21
2018-04-30,2018-04-30,2018-05-21,264.46,264.0,3.98,3.92,3.98,0.14366,3.0,0.45999999999997954,21
2018-05-01,2018-05-01,2018-05-21,265.01,265.0,3.4,3.4,3.47,0.13534,282.0,0.009999999999990905,20
2018-05-02,2018-05-02,2018-05-23,263.18,263.0,3.84,3.68,3.77,0.15198,230.0,0.18000000000000682,21
2018-05-03,2018-05-03,2018-05-23,262.59,263.0,3.24,3.32,3.35,0.14008,394.0,0.410000000000025,20
2018-05-04,2018-05-04,2018-05-25,266.01,266.0,3.29,3.29,3.31,0.12669,,0.009999999999990905,21
2018-05-07,2018-05-07,2018-05-29,266.92,267.0,3.12,3.2,3.25,0.1227,536.0,0.07999999999998408,22
2018-05-08,2018-05-08,2018-05-29,266.9,267.0,3.08,2.97,3.03,0.11668,719.0,0.10000000000002274,21
2018-05-09,2018-05-09,2018-05-30,269.48,269.5,3.04,2.88,2.93,0.11109,182.0,0.01999999999998181,21
2018-05-10,2018-05-10,2018-05-30,272.06,272.0,2.64,2.68,2.75,0.108,,0.060000000000002274,20
2018-05-11,2018-05-11,2018-06-01,272.64,272.5,2.74,2.81,2.84,0.10281,,0.13999999999998636,21
2018-05-14,2018-05-14,2018-06-04,272.91,273.0,2.51,2.53,2.62,0.09826,61.0,0.08999999999997499,21
2018-05-15,2018-05-15,2018-06-04,271.04,271.0,2.56,2.89,2.92,0.11452,760.0,0.040000000000020464,20
2018-05-16,2018-05-16,2018-06-06,272.22,272.0,2.8,2.84,2.91,0.10332,49.0,0.22000000000002728,21
2018-05-17,2018-05-17,2018-06-06,272.03,272.0,2.69,2.67,2.7,0.10472,190.0,0.029999999999972715,20
2018-05-18,2018-05-18,2018-06-08,271.34,271.5,2.8,2.77,2.8,0.10805,682.0,0.160000000000025,21
2018-05-21,2018-05-21,2018-06-11,273.35,273.5,2.54,2.45,2.49,0.09501,74.0,0.14999999999997726,21
2018-05-22,2018-05-22,2018-06-11,272.57,272.5,2.63,2.66,2.72,0.10184,92.0,0.06999999999999318,20
2018-05-23,2018-05-23,2018-06-13,273.35,273.5,2.48,2.54,2.59,0.10059,56.0,0.14999999999997726,21
2018-05-24,2018-05-24,2018-06-13,272.85,273.0,2.37,2.43,2.45,0.09574,252.0,0.14999999999997726,20
2018-05-25,2018-05-25,2018-06-15,272.18,272.0,2.76,2.76,2.79,0.11385,,0.18000000000000682,21
2018-05-29,2018-05-29,2018-06-18,269.11,269.0,3.3,3.19,3.28,0.12801,221.0,0.11000000000001364,20
2018-05-30,2018-05-30,2018-06-20,272.59,272.5,2.64,2.64,2.71,0.11146,146.0,0.08999999999997499,21
2018-05-31,2018-05-31,2018-06-20,270.76,271.0,2.59,2.48,2.54,0.11767,530.0,0.2400000000000091,20
2018-06-01,2018-06-01,2018-06-22,273.63,273.5,2.37,2.37,2.41,0.10217,,0.12999999999999545,21
2018-06-04,2018-06-04,2018-06-25,274.92,275.0,1.96,2.02,2.06,0.0934,918.0,0.07999999999998408,21
2018-06-05,2018-06-05,2018-06-25,275.19,275.0,2.09,2.06,2.11,0.0869,236.0,0.18999999999999773,20
2018-06-06,2018-06-06,2018-06-27,277.5,277.5,1.7,1.78,1.82,0.08064,5.0,0.0,21
2018-06-07,2018-06-07,2018-06-27,277.37,277.5,1.85,1.77,1.83,0.08547,152.0,0.12999999999999545,20
2018-06-08,2018-06-08,2018-06-29,278.15,278.0,2.04,2.06,2.09,0.09052,831.0,0.14999999999997726,21
2018-06-11,2018-06-11,2018-07-02,278.55,279.0,1.79,1.67,1.71,0.08662,278.0,0.44999999999998863,21
2018-06-12,2018-06-12,2018-07-03,279.01,279.0,1.86,1.8,1.86,0.08718,222.0,0.009999999999990905,21
2018-06-13,2018-06-13,2018-07-03,277.91,278.0,1.88,1.79,1.87,0.09187,305.0,0.08999999999997499,20
2018-06-14,2018-06-14,2018-07-06,278.76,279.0,1.74,1.68,1.71,0.08065,882.0,0.2400000000000091,22
2018-06-15,2018-06-15,2018-07-06,277.16,277.0,2.47,2.42,2.49,0.08807,933.0,0.160000000000025,21
2018-06-18,2018-06-18,2018-07-09,276.57,277.0,2.22,2.17,2.22,0.08901,26.0,0.4300000000000068,21
2018-06-19,2018-06-19,2018-07-09,275.48,275.0,2.95,2.87,2.93,0.10067,315.0,0.4800000000000182,20
2018-06-20,2018-06-20,2018-07-11,276.04,276.0,2.75,2.58,2.63,0.09544,387.0,0.040000000000020464,21
2018-06-21,2018-06-21,2018-07-11,274.21,274.0,3.1,3.06,3.1,0.11382,378.0,0.20999999999997954,20
2018-06-22,2018-06-22,2018-07-13,274.72,274.5,3.38,2.93,2.97,0.10582,226.0,0.22000000000002728,21
2018-06-25,2018-06-25,2018-07-16,270.92,271.0,3.79,3.52,3.64,0.13674,173.0,0.07999999999998408,21
2018-06-26,2018-06-26,2018-07-16,271.55,272.0,3.03,2.99,3.05,0.12491,241.0,0.44999999999998863,20
2018-06-27,2018-06-27,2018-07-18,269.48,269.0,5.18,4.13,4.21,0.14862,23.0,0.4800000000000182,21
2018-06-28,2018-06-28,2018-07-18,270.94,271.0,3.57,3.41,3.47,0.13402,206.0,0.060000000000002274,20
2018-06-29,2018-06-29,2018-07-20,271.2,271.0,3.74,3.72,3.75,0.13635,,0.19999999999998863,21
2018-07-02,2018-07-02,2018-07-23,272.0,272.0,3.19,3.17,3.24,0.12061,67.0,0.0,21
2018-07-03,2018-07-03,2018-07-23,270.9,271.0,4.33,3.01,3.09,0.13738,1.0,0.10000000000002274,20
2018-07-05,2018-07-05,2018-07-25,273.06,273.0,2.95,3.06,3.09,0.11753,92.0,0.060000000000002274,20
2018-07-06,2018-07-06,2018-07-27,275.4,275.5,2.75,2.83,2.89,0.10785,636.0,0.10000000000002274,21
2018-07-09,2018-07-09,2018-07-30,277.92,278.0,2.43,2.39,2.43,0.0902,392.0,0.07999999999998408,21
2018-07-10,2018-07-10,2018-07-30,278.84,279.0,2.25,2.3,2.33,0.09101,328.0,0.160000000000025,20
2018-07-11,2018-07-11,2018-08-01,276.85,277.0,2.77,2.7,2.75,0.10648,173.0,0.14999999999997726,21
2018-07-12,2018-07-12,2018-08-01,279.31,279.0,2.57,2.68,2.75,0.10068,164.0,0.3100000000000023,20
2018-07-13,2018-07-13,2018-08-03,279.58,279.5,2.64,2.6,2.64,0.09385,135.0,0.07999999999998408,21
2018-07-16,2018-07-16,2018-08-06,279.3,279.0,2.72,2.72,2.78,0.10157,148.0,0.30000000000001137,21
2018-07-17,2018-07-17,2018-08-06,280.48,280.5,2.28,2.28,2.34,0.08592,126.0,0.01999999999998181,20
2018-07-18,2018-07-18,2018-08-08,281.07,281.0,2.31,2.36,2.44,0.08845,129.0,0.06999999999999318,21
2018-07-19,2018-07-19,2018-08-08,279.95,280.0,2.56,2.4,2.47,0.09339,206.0,0.05000000000001137,20
2018-07-20,2018-07-20,2018-08-10,279.71,279.5,2.74,2.69,2.73,0.09878,57.0,0.20999999999997954,21
2018-07-23,2018-07-23,2018-08-13,280.24,280.0,2.61,2.59,2.64,0.0905,52.0,0.2400000000000091,21
2018-07-24,2018-07-24,2018-08-13,281.52,281.5,2.23,2.43,2.5,0.09308,,0.01999999999998181,20
2018-07-25,2018-07-25,2018-08-15,284.14,284.0,2.5,2.39,2.45,0.09251,147.0,0.13999999999998636,21
2018-07-26,2018-07-26,2018-08-15,283.26,283.0,2.66,2.67,2.71,0.09465,,0.2599999999999909,20
2018-07-27,2018-07-27,2018-08-17,281.4,281.5,2.65,2.67,2.7,0.10321,,0.10000000000002274,21
2018-07-30,2018-07-30,2018-08-20,279.84,280.0,2.84,2.78,2.84,0.10748,209.0,0.160000000000025,21
2018-07-31,2018-07-31,2018-08-20,281.19,281.0,2.91,2.76,2.79,0.09906,42.0,0.18999999999999773,20
2018-08-01,2018-08-01,2018-08-22,280.91,281.0,2.8,2.64,2.69,0.10213,16.0,0.08999999999997499,21
2018-08-02,2018-08-02,2018-08-22,282.39,282.0,2.51,2.58,2.61,0.08853,13.0,0.38999999999998636,20
2018-08-03,2018-08-03,2018-08-24,283.63,284.0,2.1,2.12,2.13,0.08248,242.0,0.37000000000000455,21
2018-08-06,2018-08-06,2018-08-27,284.67,285.0,2.06,2.05,2.11,0.08024,601.0,0.3299999999999841,21
2018-08-07,2018-08-07,2018-08-27,285.54,286.0,1.9,1.89,1.92,0.07787,69.0,0.45999999999997954,20
2018-08-08,2018-08-08,2018-08-29,285.42,285.0,2.69,2.55,2.59,0.0903,261.0,0.4200000000000159,21
2018-08-09,2018-08-09,2018-08-29,285.12,285.0,2.29,2.31,2.36,0.08415,39.0,0.12000000000000455,20
2018-08-10,2018-08-10,2018-08-31,283.15,283.0,2.92,2.89,2.93,0.10257,,0.14999999999997726,21
2018-08-13,2018-08-13,2018-09-04,282.0,282.0,3.11,3.06,3.11,0.10969,199.0,0.0,22
2018-08-14,2018-08-14,2018-09-04,283.86,284.0,2.56,2.51,2.55,0.09398,364.0,0.13999999999998636,21
2018-08-15,2018-08-15,2018-09-05,281.66,282.0,2.94,2.92,2.96,0.11223,43.0,0.339999999999975,21
2018-08-16,2018-08-16,2018-09-05,284.07,284.0,2.52,2.64,2.68,0.09683,542.0,0.06999999999999318,20
2018-08-17,2018-08-17,2018-09-07,285.03,285.0,2.6,2.53,2.56,0.09085,875.0,0.029999999999972715,21
2018-08-20,2018-08-20,2018-09-10,285.7,286.0,2.3,2.26,2.29,0.08587,173.0,0.30000000000001137,21
2018-08-21,2018-08-21,2018-09-10,286.33,286.0,2.68,2.67,2.72,0.09841,106.0,0.3299999999999841,20
2018-08-22,2018-08-22,2018-09-12,286.22,286.0,2.64,2.6,2.65,0.09255,363.0,0.22000000000002728,21
2018-08-23,2018-08-23,2018-09-12,285.77,286.0,2.36,2.21,2.23,0.08707,108.0,0.2300000000000182,20
2018-08-24,2018-08-24,2018-09-14,287.54,287.5,2.46,2.41,2.44,0.0855,795.0,0.040000000000020464,21
2018-08-27,2018-08-27,2018-09-17,289.64,290.0,2.15,2.16,2.19,0.08268,275.0,0.36000000000001364,21
2018-08-28,2018-08-28,2018-09-17,289.82,290.0,2.11,2.17,2.22,0.08256,238.0,0.18000000000000682,20
2018-08-29,2018-08-29,2018-09-19,291.51,291.0,2.65,2.71,2.76,0.08661,,0.5099999999999909,21
2018-08-30,2018-08-30,2018-09-19,290.24,290.0,2.59,2.78,2.82,0.09749,92.0,0.2400000000000091,20
2018-08-31,2018-08-31,2018-09-21,290.25,290.0,2.64,2.65,2.68,0.09531,,0.25,21
2018-09-04,2018-09-04,2018-09-24,289.86,290.0,2.08,2.24,2.28,0.09509,81.0,0.13999999999998636,20
2018-09-05,2018-09-05,2018-09-26,289.02,289.0,2.45,2.44,2.49,0.10113,240.0,0.01999999999998181,21
2018-09-06,2018-09-06,2018-09-26,288.1,288.0,2.68,2.57,2.62,0.1091,762.0,0.10000000000002274,20
2018-09-07,2018-09-07,2018-09-28,287.55,288.0,2.35,2.29,2.32,0.1043,,0.44999999999998863,21
2018-09-10,2018-09-10,2018-10-01,288.11,288.0,2.42,2.3,2.36,0.0951,52.0,0.11000000000001364,21
2018-09-11,2018-09-11,2018-10-01,289.11,289.0,2.13,2.05,2.09,0.08739,193.0,0.11000000000001364,20
2018-09-12,2018-09-12,2018-10-03,289.19,289.0,2.06,2.04,2.09,0.08676,220.0,0.18999999999999773,21
2018-09-13,2018-09-13,2018-10-03,290.76,291.0,1.63,1.57,1.61,0.07875,186.0,0.2400000000000091,20
2018-09-14,2018-09-14,2018-10-05,290.9,291.0,1.69,1.68,1.69,0.07737,,0.10000000000002274,21
2018-09-17,2018-09-17,2018-10-08,289.32,289.0,2.19,2.16,2.23,0.09078,101.0,0.3199999999999932,21
2018-09-18,2018-09-18,2018-10-08,290.92,291.0,1.77,1.73,1.78,0.08254,100.0,0.07999999999998408,20
2018-09-19,2018-09-19,2018-10-10,291.25,291.0,1.78,1.82,1.86,0.07783,225.0,0.25,21
2018-09-20,2018-09-20,2018-10-10,293.6,294.0,1.49,1.45,1.5,0.07464,507.0,0.39999999999997726,20
2018-09-21,2018-09-21,2018-10-12,292.04,292.5,2.33,2.21,2.24,0.08573,549.0,0.45999999999997954,21
2018-09-24,2018-09-24,2018-10-15,291.06,291.0,2.75,2.7,2.74,0.09445,42.0,0.060000000000002274,21
2018-09-25,2018-09-25,2018-10-15,290.73,291.0,2.52,2.41,2.43,0.09151,23.0,0.2699999999999818,20
2018-09-26,2018-09-26,2018-10-17,289.82,290.0,2.6,2.6,2.66,0.09616,59.0,0.18000000000000682,21
2018-09-27,2018-09-27,2018-10-17,290.65,291.0,2.35,2.3,2.34,0.09005,82.0,0.35000000000002274,20
2018-09-28,2018-09-28,2018-10-19,290.6,290.5,2.7,2.7,2.73,0.09361,,0.10000000000002274,21
2018-10-01,2018-10-01,2018-10-22,291.68,291.5,2.54,2.62,2.66,0.08985,2.0,0.18000000000000682,21
2018-10-02,2018-10-02,2018-10-22,291.52,291.5,2.6,2.52,2.54,0.09048,6.0,0.01999999999998181,20
2018-10-03,2018-10-03,2018-10-24,291.72,291.5,3.4,2.69,2.71,0.09092,81.0,0.22000000000002728,21
2018-10-04,2018-10-04,2018-10-24,289.36,289.5,3.07,3.0,3.03,0.11176,14.0,0.13999999999998636,20
2018-10-05,2018-10-05,2018-10-26,287.78,288.0,3.43,3.35,3.41,0.12386,,0.22000000000002728,21
2018-10-08,2018-10-08,2018-10-29,287.8,288.0,3.54,3.34,3.4,0.12275,22.0,0.19999999999998863,21
2018-10-09,2018-10-09,2018-10-29,287.45,287.5,4.04,3.34,3.38,0.12365,95.0,0.05000000000001137,20
2018-10-10,2018-10-10,2018-10-31,278.14,278.0,7.66,5.22,5.32,0.21245,2.0,0.13999999999998636,21
2018-10-11,2018-10-11,2018-10-31,272.28,272.0,6.27,6.24,6.34,0.23652,110.0,0.2799999999999727,20
2018-10-12,2018-10-12,2018-11-02,276.01,276.0,5.42,5.07,5.13,0.18852,689.0,0.009999999999990905,21
2018-10-15,2018-10-15,2018-11-05,274.51,275.0,4.91,4.76,4.82,0.19203,237.0,0.4900000000000091,21
2018-10-16,2018-10-16,2018-11-05,280.45,280.0,4.25,4.13,4.2,0.14722,159.0,0.44999999999998863,20
2018-10-17,2018-10-17,2018-11-07,280.35,280.0,4.56,4.39,4.5,0.15565,54.0,0.35000000000002274,21
2018-10-18,2018-10-18,2018-11-07,276.37,276.0,4.83,4.82,4.89,0.17662,109.0,0.37000000000000455,20
2018-10-19,2018-10-19,2018-11-09,276.17,276.0,5.03,4.97,5.03,0.1862,109.0,0.17000000000001592,21
2018-10-22,2018-10-22,2018-11-12,275.06,275.0,5.14,4.74,4.79,0.17653,13.0,0.060000000000002274,21
2018-10-23,2018-10-23,2018-11-12,273.63,274.0,5.2,4.56,4.64,0.18304,,0.37000000000000455,20
2018-10-24,2018-10-24,2018-11-14,265.02,265.0,8.97,6.31,6.53,0.24775,2.0,0.01999999999998181,21
2018-10-25,2018-10-25,2018-11-14,270.18,270.0,6.28,5.57,5.67,0.25245,22.0,0.18000000000000682,20
2018-10-26,2018-10-26,2018-11-16,265.3,265.0,6.42,6.48,6.63,0.24626,,0.30000000000001137,21
2018-10-29,2018-10-29,2018-11-19,263.77,264.0,5.87,5.76,5.91,0.23066,2.0,0.2300000000000182,21
2018-10-30,2018-10-30,2018-11-19,267.85,268.0,5.51,5.52,5.65,0.22117,8.0,0.14999999999997726,20
2018-10-31,2018-10-31,2018-11-21,270.69,271.0,6.26,5.04,5.15,0.20663,40.0,0.3100000000000023,21
2018-11-01,2018-11-01,2018-11-21,273.56,274.0,4.27,4.3,4.37,0.17686,134.0,0.4399999999999977,20
2018-11-02,2018-11-02,2018-11-23,271.77,272.0,4.68,4.5,4.56,0.17371,105.0,0.2300000000000182,21
2018-11-05,2018-11-05,2018-11-26,273.37,273.0,4.89,4.78,4.83,0.17284,6.0,0.37000000000000455,21
2018-11-06,2018-11-06,2018-11-26,275.11,275.0,4.08,4.5,4.59,0.17033,517.0,0.11000000000001364,20
2018-11-07,2018-11-07,2018-11-28,280.99,281.0,3.57,3.71,3.75,0.13521,34.0,0.009999999999990905,21
2018-11-08,2018-11-08,2018-11-28,280.43,280.0,3.6,3.7,3.75,0.1303,167.0,0.4300000000000068,20
2018-11-09,2018-11-09,2018-11-30,277.86,278.0,4.05,3.93,3.96,0.15134,341.0,0.13999999999998636,21
2018-11-12,2018-11-12,2018-12-03,272.46,272.0,5.29,4.93,5.04,0.17836,13.0,0.45999999999997954,21
2018-11-13,2018-11-13,2018-12-03,272.06,272.0,4.41,4.62,4.68,0.177,24.0,0.060000000000002274,20
2018-11-14,2018-11-14,2018-12-05,270.11,270.0,6.01,5.03,5.12,0.19934,52.0,0.11000000000001364,21
2018-11-15,2018-11-15,2018-12-05,273.05,273.0,4.5,4.51,4.59,0.173,40.0,0.05000000000001137,20
2018-11-16,2018-11-16,2018-12-07,273.7,273.5,4.53,4.54,4.58,0.16654,727.0,0.19999999999998863,21
2018-11-19,2018-11-19,2018-12-10,269.11,269.0,4.69,4.92,5.01,0.18614,10.0,0.11000000000001364,21
2018-11-20,2018-11-20,2018-12-10,264.19,264.0,5.2,5.43,5.48,0.21483,25.0,0.18999999999999773,20
2018-11-21,2018-11-21,2018-12-12,265.09,265.0,5.85,4.94,5.02,0.19434,5.0,0.08999999999997499,21
2018-11-23,2018-11-23,2018-12-14,263.25,263.0,5.37,5.07,5.15,0.20585,,0.25,21
2018-11-26,2018-11-26,2018-12-17,267.46,267.0,4.7,4.63,4.69,0.18023,42.0,0.45999999999997954,21
2018-11-27,2018-11-27,2018-12-17,268.34,268.0,4.2,4.57,4.62,0.17279,41.0,0.339999999999975,20
